Command line: train.py --algorithm qrd3qn --world 5 --stage 1 --episodes 20000 --seed 5413 --gamma 0.91 --lr 0.000125
================================================================================
Training started at 20260115-195525
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 5413
Starting training from scratch (no resume)
Total episodes: 20000
Batch size: 64, Learning rate: 0.000125
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.91->0.91, Epsilon 1.0->0.015
================================================================================
Ep   44 |OrigR:  47.0 ShpR: 249.7 |X:  179.0( 811.0) AvgX100: 267.4 |AvgR: 430.6( 587.4) 30 |Ls: 0.1051 |Eps: 0.8957 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   45 |OrigR: 300.0 ShpR: 718.5 |X:  394.0( 811.0) AvgX100: 270.2 |AvgR: 437.0( 587.4) 31 |Ls: 0.1088 |Eps: 0.8935 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   46 |OrigR:  -6.0 ShpR:  98.9 |X:   68.0( 811.0) AvgX100: 265.8 |AvgR: 429.6( 587.4) 32 |Ls: 0.1195 |Eps: 0.8912 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   47 |OrigR: 218.0 ShpR: 553.8 |X:  303.0( 811.0) AvgX100: 266.6 |AvgR: 432.3( 587.4) 33 |Ls: 0.1243 |Eps: 0.8890 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   48 |OrigR: 550.0 ShpR:1177.5 |X:  801.0( 811.0) AvgX100: 277.7 |AvgR: 447.8( 587.4) 34 |Ls: 0.1177 |Eps: 0.8868 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   49 |OrigR: 328.0 ShpR: 778.8 |X:  432.0( 811.0) AvgX100: 280.9 |AvgR: 454.5( 587.4) 35 |Ls: 0.1208 |Eps: 0.8846 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   50 |OrigR: -64.0 ShpR:  24.6 |X:   39.0( 811.0) AvgX100: 276.0 |AvgR: 445.9( 587.4) 36 |Ls: 0.1488 |Eps: 0.8824 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   51 |OrigR: -33.0 ShpR: 117.2 |X:   81.0( 811.0) AvgX100: 272.2 |AvgR: 439.5( 587.4) 37 |Ls: 0.1327 |Eps: 0.8802 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   52 |OrigR:  93.0 ShpR: 305.3 |X:  157.0( 811.0) AvgX100: 270.0 |AvgR: 436.9( 587.4) 38 |Ls: 0.1077 |Eps: 0.8780 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   53 |OrigR: 508.0 ShpR:1188.8 |X:  676.0( 811.0) AvgX100: 277.6 |AvgR: 451.1( 587.4) 39 |Ls: 0.1378 |Eps: 0.8758 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   54 |OrigR: 135.0 ShpR: 380.0 |X:  222.0( 811.0) AvgX100: 276.6 |AvgR: 449.8( 587.4) 40 |Ls: 0.1299 |Eps: 0.8736 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   55 |OrigR: 213.0 ShpR: 703.3 |X:  390.0( 811.0) AvgX100: 278.7 |AvgR: 454.4( 587.4) 41 |Ls: 0.1290 |Eps: 0.8714 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   56 |OrigR:  62.0 ShpR: 236.2 |X:  127.0( 811.0) AvgX100: 276.0 |AvgR: 450.5( 587.4) 42 |Ls: 0.1258 |Eps: 0.8692 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   57 |OrigR: -45.0 ShpR:  65.5 |X:  152.0( 811.0) AvgX100: 273.8 |AvgR: 443.7( 587.4) 43 |Ls: 0.1225 |Eps: 0.8670 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   58 |OrigR: 250.0 ShpR: 617.0 |X:  344.0( 811.0) AvgX100: 275.0 |AvgR: 446.7( 587.4) 44 |Ls: 0.1039 |Eps: 0.8649 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   59 |OrigR:  24.0 ShpR: 157.9 |X:   93.0( 811.0) AvgX100: 271.9 |AvgR: 441.8( 587.4) 45 |Ls: 0.1204 |Eps: 0.8627 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   60 |OrigR:  26.0 ShpR: 155.6 |X:  132.0( 811.0) AvgX100: 269.6 |AvgR: 437.1( 587.4) 46 |Ls: 0.0981 |Eps: 0.8605 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
