Command line: train.py --algorithm qrd3qn --world 5 --stage 1 --episodes 20000 --seed 5413 --gamma 0.91 --lr 0.000125 --model_path checkpoints/qrd3qn_w51_final_93_25.pt
================================================================================
Training started at 20260114-110731
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 5413
Resuming from checkpoint: checkpoints/qrd3qn_w51_final_93_25.pt
Total episodes: 20000
Batch size: 64, Learning rate: 0.000125
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.91->0.91, Epsilon 1.0->0.015
================================================================================
Ep   49 |OrigR: 207.0 ShpR: 543.2 |X:  268.0( 268.0) AvgX100: 193.9 |AvgR: 388.1( 390.0) 27 |Ls: 0.0030 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   50 |OrigR: 120.0 ShpR: 363.0 |X:  182.0( 268.0) AvgX100: 193.6 |AvgR: 387.6( 390.0) 28 |Ls: 0.0033 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   51 |OrigR: 123.0 ShpR: 369.8 |X:  185.0( 268.0) AvgX100: 193.5 |AvgR: 387.2( 390.0) 29 |Ls: 0.0033 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   52 |OrigR: 196.0 ShpR: 521.6 |X:  260.0( 268.0) AvgX100: 194.8 |AvgR: 389.8( 390.0) 30 |Ls: 0.0033 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   53 |OrigR: 123.0 ShpR: 369.8 |X:  185.0( 268.0) AvgX100: 194.6 |AvgR: 389.4( 390.0) 31 |Ls: 0.0034 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   54 |OrigR: 120.0 ShpR: 363.0 |X:  182.0( 268.0) AvgX100: 194.3 |AvgR: 388.9( 390.0) 32 |Ls: 0.0030 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   55 |OrigR: 120.0 ShpR: 361.0 |X:  181.0( 268.0) AvgX100: 194.1 |AvgR: 388.4( 390.0) 33 |Ls: 0.0033 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   56 |OrigR: 121.0 ShpR: 365.1 |X:  183.0( 268.0) AvgX100: 193.9 |AvgR: 388.0( 390.0) 34 |Ls: 0.0034 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   57 |OrigR: 125.0 ShpR: 374.5 |X:  187.0( 268.0) AvgX100: 193.8 |AvgR: 387.8( 390.0) 35 |Ls: 0.0038 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   58 |OrigR: 202.0 ShpR: 534.7 |X:  266.0( 268.0) AvgX100: 195.0 |AvgR: 390.3( 390.3)  0 |Ls: 0.0044 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   59 |OrigR: 131.0 ShpR: 388.1 |X:  193.0( 268.0) AvgX100: 195.0 |AvgR: 390.3( 390.3)  1 |Ls: 0.0052 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   60 |OrigR: 125.0 ShpR: 374.5 |X:  187.0( 268.0) AvgX100: 194.8 |AvgR: 390.0( 390.3)  2 |Ls: 0.0049 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   61 |OrigR: 125.0 ShpR: 374.5 |X:  187.0( 268.0) AvgX100: 194.7 |AvgR: 389.8( 390.3)  3 |Ls: 0.0093 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   62 |OrigR: 196.0 ShpR: 522.1 |X:  260.0( 268.0) AvgX100: 195.8 |AvgR: 391.9( 391.9)  0 |Ls: 0.0050 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   63 |OrigR: 129.0 ShpR: 383.9 |X:  191.0( 268.0) AvgX100: 195.7 |AvgR: 391.8( 391.9)  1 |Ls: 0.0051 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   64 |OrigR: 129.0 ShpR: 383.9 |X:  191.0( 268.0) AvgX100: 195.6 |AvgR: 391.6( 391.9)  2 |Ls: 0.0053 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   65 |OrigR: 210.0 ShpR: 552.0 |X:  272.0( 272.0) AvgX100: 196.8 |AvgR: 394.1( 394.1)  0 |Ls: 0.0059 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   66 |OrigR: 139.0 ShpR: 404.4 |X:  200.0( 272.0) AvgX100: 196.8 |AvgR: 394.3( 394.3)  0 |Ls: 0.0060 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   67 |OrigR: 139.0 ShpR: 404.4 |X:  200.0( 272.0) AvgX100: 196.9 |AvgR: 394.4( 394.4)  0 |Ls: 0.0064 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   68 |OrigR: 139.0 ShpR: 404.4 |X:  200.0( 272.0) AvgX100: 196.9 |AvgR: 394.6( 394.6)  0 |Ls: 0.0066 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   69 |OrigR: 139.0 ShpR: 404.4 |X:  200.0( 272.0) AvgX100: 197.0 |AvgR: 394.7( 394.7)  0 |Ls: 0.0067 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   70 |OrigR: 139.0 ShpR: 404.4 |X:  200.0( 272.0) AvgX100: 197.0 |AvgR: 394.8( 394.8)  0 |Ls: 0.0060 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   71 |OrigR: 139.0 ShpR: 404.4 |X:  200.0( 272.0) AvgX100: 197.1 |AvgR: 395.0( 395.0)  0 |Ls: 0.0085 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   72 |OrigR: 139.0 ShpR: 404.4 |X:  200.0( 272.0) AvgX100: 197.1 |AvgR: 395.1( 395.1)  0 |Ls: 0.0061 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   73 |OrigR: 132.0 ShpR: 391.2 |X:  194.0( 272.0) AvgX100: 197.1 |AvgR: 395.1( 395.1)  1 |Ls: 0.0067 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   74 |OrigR: 139.0 ShpR: 404.4 |X:  200.0( 272.0) AvgX100: 197.1 |AvgR: 395.2( 395.2)  0 |Ls: 0.0062 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   75 |OrigR: 136.0 ShpR: 399.1 |X:  198.0( 272.0) AvgX100: 197.1 |AvgR: 395.2( 395.2)  0 |Ls: 0.0054 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   76 |OrigR: 213.0 ShpR: 560.8 |X:  276.0( 276.0) AvgX100: 198.2 |AvgR: 397.4( 397.4)  0 |Ls: 0.0065 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
