Command line: train.py --algorithm qrd3qn --world 5 --stage 1 --episodes 20000 --seed 22 --gamma 0.91 --lr 0.00025 --model_path checkpoints/qrd3qn_w51_final_93_25.pt
================================================================================
Training started at 20260113-041927
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 22
Resuming from checkpoint: checkpoints/qrd3qn_w51_final_93_25.pt
Total episodes: 20000
Batch size: 64, Learning rate: 0.00025
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.91->0.91, Epsilon 1.0->0.015
================================================================================
Ep    1 |OrigR: -31.0 ShpR:  35.9 |X:   40.0(  40.0) AvgX100:  40.0 |AvgR:  35.9(  35.9)  0 |Ls: 0.0368 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   68 |OrigR: -19.0 ShpR:  65.6 |X:   53.0( 276.0) AvgX100: 178.8 |AvgR: 353.7( 358.0)  1 |Ls: 0.0255 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   69 |OrigR:  18.0 ShpR: 145.8 |X:   88.0( 276.0) AvgX100: 177.5 |AvgR: 350.7( 358.0)  2 |Ls: 0.0298 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   70 |OrigR: 101.0 ShpR: 324.1 |X:  165.0( 276.0) AvgX100: 177.3 |AvgR: 350.3( 358.0)  3 |Ls: 0.0325 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   71 |OrigR: 212.0 ShpR: 557.2 |X:  275.0( 276.0) AvgX100: 178.7 |AvgR: 353.3( 358.0)  4 |Ls: 0.0266 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   72 |OrigR: 195.0 ShpR: 515.0 |X:  271.0( 276.0) AvgX100: 180.0 |AvgR: 355.5( 358.0)  5 |Ls: 0.0280 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   73 |OrigR: 203.0 ShpR: 536.3 |X:  270.0( 276.0) AvgX100: 181.2 |AvgR: 358.0( 358.0)  6 |Ls: 0.0293 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   74 |OrigR:  91.0 ShpR: 303.1 |X:  156.0( 276.0) AvgX100: 180.9 |AvgR: 357.2( 358.0)  7 |Ls: 0.0324 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   75 |OrigR:  14.0 ShpR: 138.4 |X:   85.0( 276.0) AvgX100: 179.6 |AvgR: 354.3( 358.0)  8 |Ls: 0.0246 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   76 |OrigR: 209.0 ShpR: 550.4 |X:  273.0( 276.0) AvgX100: 180.8 |AvgR: 356.9( 358.0)  9 |Ls: 0.0268 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   77 |OrigR: 207.0 ShpR: 546.7 |X:  270.0( 276.0) AvgX100: 182.0 |AvgR: 359.4( 359.4)  0 |Ls: 0.0267 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   78 |OrigR:  82.0 ShpR: 283.7 |X:  148.0( 276.0) AvgX100: 181.6 |AvgR: 358.4( 359.4)  1 |Ls: 0.0236 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   79 |OrigR: 104.0 ShpR: 330.4 |X:  168.0( 276.0) AvgX100: 181.4 |AvgR: 358.0( 359.4)  2 |Ls: 0.0280 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   80 |OrigR: 200.0 ShpR: 531.0 |X:  263.0( 276.0) AvgX100: 182.4 |AvgR: 360.2( 360.2)  0 |Ls: 0.0321 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   81 |OrigR: 208.0 ShpR: 548.8 |X:  271.0( 276.0) AvgX100: 183.5 |AvgR: 362.5( 362.5)  0 |Ls: 0.0253 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   82 |OrigR: 197.0 ShpR: 525.7 |X:  261.0( 276.0) AvgX100: 184.5 |AvgR: 364.5( 364.5)  0 |Ls: 0.0322 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   83 |OrigR: 387.0 ShpR: 919.7 |X:  454.0( 454.0) AvgX100: 187.7 |AvgR: 371.2( 371.2)  0 |Ls: 0.0299 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   84 |OrigR: 199.0 ShpR: 530.9 |X:  263.0( 454.0) AvgX100: 188.6 |AvgR: 373.1( 373.1)  0 |Ls: 0.0296 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   85 |OrigR: 198.0 ShpR: 527.8 |X:  262.0( 454.0) AvgX100: 189.5 |AvgR: 374.9( 374.9)  0 |Ls: 0.0298 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   86 |OrigR: 377.0 ShpR: 899.2 |X:  448.0( 454.0) AvgX100: 192.5 |AvgR: 381.0( 381.0)  0 |Ls: 0.0309 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   87 |OrigR:  99.0 ShpR: 319.4 |X:  163.0( 454.0) AvgX100: 192.1 |AvgR: 380.3( 381.0)  1 |Ls: 0.0251 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   88 |OrigR: 541.0 ShpR:1242.1 |X:  614.0( 614.0) AvgX100: 196.9 |AvgR: 390.1( 390.1)  0 |Ls: 0.0281 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   89 |OrigR: 208.0 ShpR: 548.8 |X:  271.0( 614.0) AvgX100: 197.8 |AvgR: 391.9( 391.9)  0 |Ls: 0.0231 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
