Command line: train.py --algorithm qrd3qn --world 5 --stage 1 --episodes 20000 --seed 22 --gamma 0.99 --lr 0.00025
================================================================================
Training started at 20260118-092144
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 22
Starting training from scratch (no resume)
Total episodes: 20000
Batch size: 64, Learning rate: 0.00025
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.99->0.99, Epsilon 1.0->0.015
================================================================================
Ep   44 |OrigR: -59.0 ShpR:  36.1 |X:   44.0( 805.0) AvgX100: 247.0 |AvgR: 375.8( 414.4) 10 |Ls: 0.6739 |Eps: 0.8957 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   45 |OrigR: 113.0 ShpR: 339.8 |X:  192.0( 805.0) AvgX100: 245.8 |AvgR: 375.0( 414.4) 11 |Ls: 0.7438 |Eps: 0.8935 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   46 |OrigR: 180.0 ShpR: 483.5 |X:  248.0( 805.0) AvgX100: 245.9 |AvgR: 377.3( 414.4) 12 |Ls: 0.9779 |Eps: 0.8912 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   47 |OrigR: -30.0 ShpR: 133.5 |X:  141.0( 805.0) AvgX100: 243.6 |AvgR: 372.1( 414.4) 13 |Ls: 0.9463 |Eps: 0.8890 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   48 |OrigR: 110.0 ShpR: 321.5 |X:  203.0( 805.0) AvgX100: 242.8 |AvgR: 371.1( 414.4) 14 |Ls: 1.0304 |Eps: 0.8868 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   49 |OrigR:  20.0 ShpR: 212.5 |X:  121.0( 805.0) AvgX100: 240.3 |AvgR: 367.9( 414.4) 15 |Ls: 1.1723 |Eps: 0.8846 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   50 |OrigR: 512.0 ShpR:1166.2 |X:  614.0( 805.0) AvgX100: 247.8 |AvgR: 383.8( 414.4) 16 |Ls: 1.1534 |Eps: 0.8824 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   51 |OrigR: 188.0 ShpR: 498.3 |X:  265.0( 805.0) AvgX100: 248.1 |AvgR: 386.1( 414.4) 17 |Ls: 1.0665 |Eps: 0.8802 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   52 |OrigR:  52.0 ShpR: 266.7 |X:  176.0( 805.0) AvgX100: 246.7 |AvgR: 383.8( 414.4) 18 |Ls: 1.1903 |Eps: 0.8780 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   53 |OrigR: 213.0 ShpR: 524.3 |X:  335.0( 805.0) AvgX100: 248.4 |AvgR: 386.4( 414.4) 19 |Ls: 1.2375 |Eps: 0.8758 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   54 |OrigR: 209.0 ShpR: 756.9 |X:  408.0( 805.0) AvgX100: 251.4 |AvgR: 393.3( 414.4) 20 |Ls: 1.3938 |Eps: 0.8736 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   55 |OrigR: -32.0 ShpR:  49.8 |X:   47.0( 805.0) AvgX100: 247.6 |AvgR: 387.0( 414.4) 21 |Ls: 1.2822 |Eps: 0.8714 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   56 |OrigR: 167.0 ShpR: 449.7 |X:  244.0( 805.0) AvgX100: 247.6 |AvgR: 388.2( 414.4) 22 |Ls: 1.3897 |Eps: 0.8692 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   57 |OrigR: 345.0 ShpR: 864.0 |X:  546.0( 805.0) AvgX100: 252.8 |AvgR: 396.5( 414.4) 23 |Ls: 1.4270 |Eps: 0.8670 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   58 |OrigR:  96.0 ShpR: 365.6 |X:  204.0( 805.0) AvgX100: 252.0 |AvgR: 396.0( 414.4) 24 |Ls: 1.5130 |Eps: 0.8649 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
