Command line: train.py --algorithm qrd3qn --world 5 --stage 1 --episodes 20000 --seed 222 --gamma 0.97 --lr 0.00025 --model_path checkpoints/qrd3qn_w51_final.pt
================================================================================
Training started at 20260113-195028
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 222
Resuming from checkpoint: checkpoints/qrd3qn_w51_final.pt
Total episodes: 20000
Batch size: 64, Learning rate: 0.00025
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.97->0.97, Epsilon 1.0->0.015
================================================================================
Ep   66 |OrigR: 206.0 ShpR: 545.1 |X:  269.0( 456.0) AvgX100: 175.1 |AvgR: 335.8( 335.8)  0 |Ls: 0.0326 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   67 |OrigR: 206.0 ShpR: 545.1 |X:  269.0( 456.0) AvgX100: 176.5 |AvgR: 338.9( 338.9)  0 |Ls: 0.0298 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   68 |OrigR: 209.0 ShpR: 548.9 |X:  271.0( 456.0) AvgX100: 177.9 |AvgR: 342.0( 342.0)  0 |Ls: 0.0273 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   69 |OrigR: 206.0 ShpR: 545.1 |X:  269.0( 456.0) AvgX100: 179.2 |AvgR: 345.0( 345.0)  0 |Ls: 0.0287 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   70 |OrigR: 125.0 ShpR: 372.0 |X:  186.0( 456.0) AvgX100: 179.3 |AvgR: 345.3( 345.3)  0 |Ls: 0.0264 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   71 |OrigR: 210.0 ShpR: 553.5 |X:  273.0( 456.0) AvgX100: 180.6 |AvgR: 348.3( 348.3)  0 |Ls: 0.0300 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   72 |OrigR: 211.0 ShpR: 555.6 |X:  274.0( 456.0) AvgX100: 181.9 |AvgR: 351.2( 351.2)  0 |Ls: 0.0245 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   73 |OrigR: 211.0 ShpR: 555.6 |X:  274.0( 456.0) AvgX100: 183.2 |AvgR: 354.0( 354.0)  0 |Ls: 0.0334 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   74 |OrigR: 136.0 ShpR: 397.6 |X:  197.0( 456.0) AvgX100: 183.4 |AvgR: 354.5( 354.5)  0 |Ls: 0.0330 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   75 |OrigR: 199.0 ShpR: 529.4 |X:  264.0( 456.0) AvgX100: 184.5 |AvgR: 356.9( 356.9)  0 |Ls: 0.0289 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   76 |OrigR: 386.0 ShpR: 918.6 |X:  454.0( 456.0) AvgX100: 188.0 |AvgR: 364.3( 364.3)  0 |Ls: 0.0347 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   77 |OrigR: 134.0 ShpR: 394.4 |X:  196.0( 456.0) AvgX100: 188.1 |AvgR: 364.7( 364.7)  0 |Ls: 0.0322 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   78 |OrigR: 136.0 ShpR: 395.1 |X:  196.0( 456.0) AvgX100: 188.2 |AvgR: 365.1( 365.1)  0 |Ls: 0.0358 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   79 |OrigR: 132.0 ShpR: 391.2 |X:  194.0( 456.0) AvgX100: 188.3 |AvgR: 365.4( 365.4)  0 |Ls: 0.0362 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   80 |OrigR: 211.0 ShpR: 555.6 |X:  274.0( 456.0) AvgX100: 189.3 |AvgR: 367.8( 367.8)  0 |Ls: 0.0310 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   81 |OrigR: 211.0 ShpR: 555.6 |X:  274.0( 456.0) AvgX100: 190.4 |AvgR: 370.1( 370.1)  0 |Ls: 0.0357 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   82 |OrigR: 211.0 ShpR: 555.6 |X:  274.0( 456.0) AvgX100: 191.4 |AvgR: 372.3( 372.3)  0 |Ls: 0.0350 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   83 |OrigR: 132.0 ShpR: 391.2 |X:  194.0( 456.0) AvgX100: 191.4 |AvgR: 372.6( 372.6)  0 |Ls: 0.0336 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   84 |OrigR: 211.0 ShpR: 555.6 |X:  274.0( 456.0) AvgX100: 192.4 |AvgR: 374.7( 374.7)  0 |Ls: 0.0300 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   85 |OrigR: 134.0 ShpR: 394.9 |X:  196.0( 456.0) AvgX100: 192.5 |AvgR: 375.0( 375.0)  0 |Ls: 0.0289 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   86 |OrigR: 207.0 ShpR: 547.2 |X:  270.0( 456.0) AvgX100: 193.4 |AvgR: 377.0( 377.0)  0 |Ls: 0.0279 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   87 |OrigR: 211.0 ShpR: 555.6 |X:  274.0( 456.0) AvgX100: 194.3 |AvgR: 379.0( 379.0)  0 |Ls: 0.0251 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   88 |OrigR: 211.0 ShpR: 555.6 |X:  274.0( 456.0) AvgX100: 195.2 |AvgR: 381.0( 381.0)  0 |Ls: 0.0254 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   89 |OrigR: 211.0 ShpR: 555.6 |X:  274.0( 456.0) AvgX100: 196.1 |AvgR: 383.0( 383.0)  0 |Ls: 0.0263 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   90 |OrigR: 211.0 ShpR: 555.6 |X:  274.0( 456.0) AvgX100: 197.0 |AvgR: 384.9( 384.9)  0 |Ls: 0.0269 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   91 |OrigR: 210.0 ShpR: 551.0 |X:  272.0( 456.0) AvgX100: 197.8 |AvgR: 386.8( 386.8)  0 |Ls: 0.0325 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   92 |OrigR: 109.0 ShpR: 339.9 |X:  172.0( 456.0) AvgX100: 197.5 |AvgR: 386.2( 386.8)  1 |Ls: 0.0358 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   93 |OrigR: 115.0 ShpR: 353.5 |X:  178.0( 456.0) AvgX100: 197.3 |AvgR: 385.9( 386.8)  2 |Ls: 0.0350 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   94 |OrigR:  96.0 ShpR: 312.1 |X:  160.0( 456.0) AvgX100: 196.9 |AvgR: 385.1( 386.8)  3 |Ls: 0.0328 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   95 |OrigR: 102.0 ShpR: 326.2 |X:  166.0( 456.0) AvgX100: 196.6 |AvgR: 384.5( 386.8)  4 |Ls: 0.0478 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   96 |OrigR: 210.0 ShpR: 551.0 |X:  272.0( 456.0) AvgX100: 197.4 |AvgR: 386.2( 386.8)  5 |Ls: 0.0401 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   97 |OrigR: 210.0 ShpR: 551.0 |X:  272.0( 456.0) AvgX100: 198.1 |AvgR: 387.9( 387.9)  0 |Ls: 0.0351 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   98 |OrigR: 210.0 ShpR: 551.0 |X:  272.0( 456.0) AvgX100: 198.9 |AvgR: 389.6( 389.6)  0 |Ls: 0.0366 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   99 |OrigR: 210.0 ShpR: 553.0 |X:  273.0( 456.0) AvgX100: 199.6 |AvgR: 391.2( 391.2)  0 |Ls: 0.0338 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep  100 |OrigR: 212.0 ShpR: 557.7 |X:  275.0( 456.0) AvgX100: 200.4 |AvgR: 392.9( 392.9)  0 |Ls: 0.0321 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
