================================================================================
Training started at 20251219-102853
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 42
Starting training from scratch (no resume)
Total episodes: 20000
Batch size: 64, Learning rate: 0.00025
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.99->0.99, Epsilon 1.0->0.015
================================================================================
Ep   49 |OrigR: 282.0 ShpR: 680.2 |X:  383.0( 707.0) AvgX100: 211.3 |AvgR: 338.3( 403.0) 39 |Ls: 0.5014 |Eps: 0.8846 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   50 |OrigR:  63.0 ShpR: 240.8 |X:  129.0( 707.0) AvgX100: 209.7 |AvgR: 336.3( 403.0) 40 |Ls: 0.4879 |Eps: 0.8824 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   51 |OrigR:  17.0 ShpR: 243.7 |X:  137.0( 707.0) AvgX100: 208.3 |AvgR: 334.5( 403.0) 41 |Ls: 0.5411 |Eps: 0.8802 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   52 |OrigR: 508.0 ShpR:1109.8 |X:  702.0( 707.0) AvgX100: 217.8 |AvgR: 349.4( 403.0) 42 |Ls: 0.5116 |Eps: 0.8780 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   53 |OrigR: 423.0 ShpR: 890.8 |X:  702.0( 707.0) AvgX100: 226.9 |AvgR: 359.6( 403.0) 43 |Ls: 0.5560 |Eps: 0.8758 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   54 |OrigR: 179.0 ShpR: 477.9 |X:  253.0( 707.0) AvgX100: 227.4 |AvgR: 361.8( 403.0) 44 |Ls: 0.4900 |Eps: 0.8736 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   55 |OrigR: 309.0 ShpR: 738.4 |X:  406.0( 707.0) AvgX100: 230.6 |AvgR: 368.7( 403.0) 45 |Ls: 0.5166 |Eps: 0.8714 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   56 |OrigR: 159.0 ShpR: 438.4 |X:  228.0( 707.0) AvgX100: 230.6 |AvgR: 369.9( 403.0) 46 |Ls: 0.5422 |Eps: 0.8692 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   57 |OrigR:   7.0 ShpR: 120.2 |X:   77.0( 707.0) AvgX100: 227.9 |AvgR: 365.5( 403.0) 47 |Ls: 0.4934 |Eps: 0.8670 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   58 |OrigR: 490.0 ShpR:1114.0 |X:  596.0( 707.0) AvgX100: 234.2 |AvgR: 378.5( 403.0) 48 |Ls: 0.5557 |Eps: 0.8649 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   59 |OrigR:  94.0 ShpR: 303.9 |X:  156.0( 707.0) AvgX100: 232.9 |AvgR: 377.2( 403.0) 49 |Ls: 0.5849 |Eps: 0.8627 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   60 |OrigR: 104.0 ShpR: 326.4 |X:  166.0( 707.0) AvgX100: 231.8 |AvgR: 376.3( 403.0) 50 |Ls: 0.4865 |Eps: 0.8605 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   61 |OrigR: 173.0 ShpR: 461.3 |X:  262.0( 707.0) AvgX100: 232.3 |AvgR: 377.7( 403.0) 51 |Ls: 0.5400 |Eps: 0.8584 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   62 |OrigR: -54.0 ShpR:  77.6 |X:   64.0( 707.0) AvgX100: 229.6 |AvgR: 372.9( 403.0) 52 |Ls: 0.5530 |Eps: 0.8562 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   63 |OrigR: 320.0 ShpR: 765.0 |X:  419.0( 707.0) AvgX100: 232.6 |AvgR: 379.1( 403.0) 53 |Ls: 0.4791 |Eps: 0.8541 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   64 |OrigR: 244.0 ShpR: 568.4 |X:  404.0( 707.0) AvgX100: 235.2 |AvgR: 382.1( 403.0) 54 |Ls: 0.4652 |Eps: 0.8520 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   65 |OrigR: 361.0 ShpR: 858.6 |X:  432.0( 707.0) AvgX100: 238.3 |AvgR: 389.4( 403.0) 55 |Ls: 0.5372 |Eps: 0.8498 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   66 |OrigR:  -2.0 ShpR: 102.3 |X:   69.0( 707.0) AvgX100: 235.7 |AvgR: 385.1( 403.0) 56 |Ls: 0.5288 |Eps: 0.8477 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   67 |OrigR: 100.0 ShpR: 409.0 |X:  237.0( 707.0) AvgX100: 235.7 |AvgR: 385.4( 403.0) 57 |Ls: 0.6322 |Eps: 0.8456 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   68 |OrigR: -73.0 ShpR:  30.2 |X:   43.0( 707.0) AvgX100: 232.9 |AvgR: 380.2( 403.0) 58 |Ls: 0.6648 |Eps: 0.8435 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   69 |OrigR: 544.0 ShpR:1151.4 |X:  802.0( 802.0) AvgX100: 241.1 |AvgR: 391.4( 403.0) 59 |Ls: 0.7254 |Eps: 0.8414 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   70 |OrigR: 103.0 ShpR: 368.3 |X:  216.0( 802.0) AvgX100: 240.8 |AvgR: 391.0( 403.0) 60 |Ls: 0.7164 |Eps: 0.8393 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   71 |OrigR: 105.0 ShpR: 429.5 |X:  247.0( 802.0) AvgX100: 240.9 |AvgR: 391.6( 403.0) 61 |Ls: 0.7355 |Eps: 0.8372 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   72 |OrigR:  32.0 ShpR: 309.2 |X:  184.0( 802.0) AvgX100: 240.1 |AvgR: 390.4( 403.0) 62 |Ls: 0.8506 |Eps: 0.8351 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   73 |OrigR: -74.0 ShpR:  21.6 |X:   39.0( 802.0) AvgX100: 237.3 |AvgR: 385.4( 403.0) 63 |Ls: 0.9059 |Eps: 0.8330 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   74 |OrigR: 159.0 ShpR: 431.9 |X:  243.0( 802.0) AvgX100: 237.4 |AvgR: 386.0( 403.0) 64 |Ls: 0.8385 |Eps: 0.8309 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   75 |OrigR: -51.0 ShpR:  35.9 |X:   43.0( 802.0) AvgX100: 234.8 |AvgR: 381.3( 403.0) 65 |Ls: 0.7886 |Eps: 0.8288 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   76 |OrigR:  31.0 ShpR: 169.6 |X:   98.0( 802.0) AvgX100: 233.0 |AvgR: 378.6( 403.0) 66 |Ls: 1.0794 |Eps: 0.8268 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   77 |OrigR: 183.0 ShpR: 483.8 |X:  260.0( 802.0) AvgX100: 233.4 |AvgR: 379.9( 403.0) 67 |Ls: 1.0055 |Eps: 0.8247 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   78 |OrigR: 263.0 ShpR: 663.3 |X:  335.0( 802.0) AvgX100: 234.7 |AvgR: 383.6( 403.0) 68 |Ls: 0.9058 |Eps: 0.8226 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   79 |OrigR: 140.0 ShpR: 577.0 |X:  403.0( 802.0) AvgX100: 236.8 |AvgR: 386.0( 403.0) 69 |Ls: 1.1109 |Eps: 0.8206 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   80 |OrigR: 339.0 ShpR: 816.4 |X:  415.0( 802.0) AvgX100: 239.0 |AvgR: 391.4( 403.0) 70 |Ls: 1.4226 |Eps: 0.8185 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   81 |OrigR: 164.0 ShpR: 448.4 |X:  240.0( 802.0) AvgX100: 239.0 |AvgR: 392.1( 403.0) 71 |Ls: 1.3068 |Eps: 0.8165 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   82 |OrigR: 339.0 ShpR: 804.9 |X:  425.0( 802.0) AvgX100: 241.3 |AvgR: 397.1( 403.0) 72 |Ls: 1.2189 |Eps: 0.8144 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   83 |OrigR: 100.0 ShpR: 315.0 |X:  161.0( 802.0) AvgX100: 240.3 |AvgR: 396.1( 403.0) 73 |Ls: 1.2552 |Eps: 0.8124 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   84 |OrigR: 335.0 ShpR: 673.0 |X:  696.0( 802.0) AvgX100: 245.8 |AvgR: 399.4( 403.0) 74 |Ls: 1.1962 |Eps: 0.8104 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   85 |OrigR: 322.0 ShpR: 772.7 |X:  406.0( 802.0) AvgX100: 247.6 |AvgR: 403.8( 403.8)  0 |Ls: 1.2331 |Eps: 0.8083 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   86 |OrigR: 129.0 ShpR: 423.9 |X:  222.0( 802.0) AvgX100: 247.3 |AvgR: 404.1( 404.1)  0 |Ls: 1.2933 |Eps: 0.8063 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   87 |OrigR: 507.0 ShpR:1051.2 |X:  819.0( 819.0) AvgX100: 253.9 |AvgR: 411.5( 411.5)  0 |Ls: 1.2798 |Eps: 0.8043 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   88 |OrigR:  58.0 ShpR: 229.8 |X:  124.0( 819.0) AvgX100: 252.4 |AvgR: 409.4( 411.5)  1 |Ls: 1.2118 |Eps: 0.8023 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   89 |OrigR: 497.0 ShpR:1140.7 |X:  575.0( 819.0) AvgX100: 256.1 |AvgR: 417.6( 417.6)  0 |Ls: 1.1494 |Eps: 0.8003 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   90 |OrigR: 151.0 ShpR: 415.1 |X:  233.0( 819.0) AvgX100: 255.8 |AvgR: 417.6( 417.6)  1 |Ls: 1.2082 |Eps: 0.7983 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   91 |OrigR: 181.0 ShpR: 485.6 |X:  248.0( 819.0) AvgX100: 255.7 |AvgR: 418.4( 418.4)  0 |Ls: 1.1690 |Eps: 0.7963 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   92 |OrigR: 262.0 ShpR: 653.7 |X:  690.0( 819.0) AvgX100: 260.4 |AvgR: 420.9( 420.9)  0 |Ls: 1.3714 |Eps: 0.7943 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   93 |OrigR: 498.0 ShpR:1127.8 |X:  618.0( 819.0) AvgX100: 264.3 |AvgR: 428.5( 428.5)  0 |Ls: 1.7921 |Eps: 0.7923 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   94 |OrigR:  73.0 ShpR: 259.8 |X:  137.0( 819.0) AvgX100: 262.9 |AvgR: 426.7( 428.5)  1 |Ls: 1.7583 |Eps: 0.7903 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   95 |OrigR:  56.0 ShpR: 223.6 |X:  163.0( 819.0) AvgX100: 261.9 |AvgR: 424.6( 428.5)  2 |Ls: 1.7660 |Eps: 0.7884 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   96 |OrigR: 334.0 ShpR: 816.9 |X:  421.0( 819.0) AvgX100: 263.5 |AvgR: 428.7( 428.7)  0 |Ls: 2.0768 |Eps: 0.7864 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   97 |OrigR: 651.0 ShpR:1440.6 |X:  795.0( 819.0) AvgX100: 269.0 |AvgR: 439.1( 439.1)  0 |Ls: 1.9079 |Eps: 0.7844 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   98 |OrigR:  91.0 ShpR: 298.6 |X:  154.0( 819.0) AvgX100: 267.8 |AvgR: 437.7( 439.1)  1 |Ls: 2.2683 |Eps: 0.7825 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   99 |OrigR:  94.0 ShpR: 305.4 |X:  157.0( 819.0) AvgX100: 266.7 |AvgR: 436.3( 439.1)  2 |Ls: 2.1867 |Eps: 0.7805 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep  100 |OrigR: 157.0 ShpR: 426.2 |X:  241.0( 819.0) AvgX100: 266.5 |AvgR: 436.2( 439.1)  3 |Ls: 2.3143 |Eps: 0.7786 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep  101 |OrigR: -32.0 ShpR: 131.8 |X:   88.0( 819.0) AvgX100: 266.4 |AvgR: 435.9( 439.1)  4 |Ls: 2.2754 |Eps: 0.7766 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep  102 |OrigR: 535.0 ShpR:1178.0 |X:  704.0( 819.0) AvgX100: 273.0 |AvgR: 447.2( 447.2)  0 |Ls: 2.3961 |Eps: 0.7747 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep  103 |OrigR:  24.0 ShpR: 237.9 |X:  133.0( 819.0) AvgX100: 273.3 |AvgR: 447.9( 447.9)  0 |Ls: 2.4986 |Eps: 0.7727 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
